,In-Degree,Out-Degree,Degree Centrality,Eigenvector Centrality,Closeness Centrality
Count,5705.0,5705.0,5705.0,5705.0,5705.0
Mean,2.527081507449606,2.527081507449606,0.000886073459835065,0.0031326995577910526,0.07171922175937247
Std. Dev,7.04100474931869,6.634756779965255,0.0023079907119245954,0.012864681923389973,0.06682605891792362
Min,0.0,0.0,0.0001753155680224404,2.6137001397350796e-23,0.0
25th Percentile,0.0,1.0,0.0001753155680224404,2.6137001397350796e-23,0.0
50th Percentile,1.0,1.0,0.0003506311360448808,9.778476424130942e-07,0.09985828006336933
75th Percentile,2.0,2.0,0.0007012622720897616,0.0005557312285434975,0.13387965218837206
Max,250.0,255.0,0.0885343618513324,0.24051123462178794,0.21891683661050337
